,id,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,load_rate,cod_removal_mg_l,cod_removal_rate,bod5_removal_mg_l,bod5_removal_rate,ss_removal_mg_l,ss_removal_rate,nh3n_removal_mg_l,nh3n_removal_rate,tn_removal_mg_l,tn_removal_rate,tp_removal_mg_l,tp_removal_rate,cod_load_kg,tn_load_kg,tp_load_kg,energy_per_volume,avg_removal_rate
id,1.0,-0.16790434150332073,-0.17155076850138032,-0.2390760778127435,0.027344231510485515,-0.24100465452012435,0.02349199717244703,-0.34169908092154005,-0.07021896258604614,-0.07802202961362825,0.037383833316159513,-0.17907781549524673,0.010197568595735246,-0.3458807837725082,-0.20488428784541454,-0.12206287402040193,0.13143790531871027,-0.24796777484734542,-0.10525882440969715,-0.24045316746519949,-0.07279801348186661,-0.33659504294754056,-0.0832138345334264,-0.07878037526958183,-0.10556917273289833,-0.18850730336649052,-0.15084617461189173,-0.3384784542570817,-0.0900323111929956,-0.16178056126336193,-0.20084582506064855,-0.18985632348776443,-0.043768018767979006,-0.16593414337924567
treatment_capacity_10k_m3_per_day,-0.16790434150332073,1.0,0.9834716104864261,0.4944641022099742,0.18448371997651664,0.35506303411754186,0.026564547120180675,0.2523850101502251,0.2102893577780421,0.2421277626800382,0.05070981602234827,0.21460478891727175,0.39562160187354145,0.275582043243048,-0.01804955913600471,0.9391418539898128,0.015641284165099002,0.4830758027183039,0.23737047803891387,0.3512655104604741,0.19388694420056565,0.2343465540980708,-0.045562381723553314,0.24012018010175057,0.10386673251863116,0.13297631374133778,-0.05769981049773091,0.2788628730900013,0.2670733785685188,0.9604404512322835,0.9635685537341661,0.9401072177981948,-0.3110898689606672,0.10926737863241383
annual_treatment_volume_10k_m3,-0.17155076850138032,0.9834716104864261,1.0,0.45812482979184316,0.1689169656895498,0.3501293018525694,0.030173102490829027,0.23291878841758837,0.18916609257486297,0.23345708865756692,0.04120549081044763,0.2035579819020094,0.3910928864404174,0.2670301175982119,-0.01957583614141526,0.9335900865300427,0.08747602584646384,0.4478216330198542,0.2265680811333045,0.3461904531733078,0.1859800348926685,0.21671328723837052,-0.03870864384546722,0.23172250237104872,0.11093662306998789,0.12252304997325607,-0.0649217269244161,0.27031476847385544,0.2635608825604934,0.9555071642343325,0.9704099043484805,0.9405669144035457,-0.33785414458044494,0.1030429456955831
cod_influent_mg_l,-0.2390760778127435,0.4944641022099742,0.45812482979184316,1.0,0.2449461682376563,0.8115983483832231,0.0400766030564189,0.4487483941062771,0.28036833740565525,0.3652296044021646,0.05925145706226269,0.4148578927128933,0.1503120045401347,0.3966181454354005,-0.20958253950924177,0.5631872594153549,0.0128603189843946,0.9928006073246974,0.5103845096062335,0.8039253684373292,0.36397007716341223,0.42509949727062574,-0.024524213925607975,0.3626522793639749,0.0747446230168672,0.3970704728898287,0.2188054074922448,0.41063572372629026,0.4261786244673601,0.5937911720404271,0.5006508366249799,0.4614553732087835,-0.12208378175038492,0.3867744703632882
cod_effluent_mg_l,0.027344231510485515,0.18448371997651664,0.1689169656895498,0.2449461682376563,1.0,0.003415092038321991,0.3464216330440721,0.04216444518597593,0.3854238212408363,-0.1617237980868544,0.5598601556347068,-0.16646876605465663,0.19370370209129506,-0.044886407299836485,0.1387091195477847,0.29847224893792346,-0.13947164470477827,0.12705279210982767,-0.6334582406285281,-0.01351279633275654,-0.20915110676051202,0.007601748021602586,-0.2801772642012744,-0.17591300450915534,-0.49645824884334117,-0.21721060445152446,-0.279147900798972,-0.05229467077988305,-0.1434576016820514,0.30144218007919565,0.09274190645864078,0.09834680575340898,0.22495990409180217,-0.4780286081587819
bod5_influent_mg_l,-0.24100465452012435,0.35506303411754186,0.3501293018525694,0.8115983483832231,0.003415092038321991,1.0,-0.12031189842323319,0.3496742436616918,0.13294087179942396,0.44490269622983364,-0.025351375187537366,0.5000900538574619,0.11427307433986081,0.4405401797948081,-0.24834487446004685,0.3891539086186705,0.04015159421621809,0.829893371322374,0.5773860039984321,0.9988260410672894,0.5249564415622137,0.3389496249865688,0.058938230565975115,0.44431417244644544,0.20017491395954,0.49389633280288864,0.3305981859027451,0.4568975135102377,0.49946829733851106,0.43343212554430616,0.42158651330171065,0.3629691773309188,-0.26346660542183686,0.5359162160130434
bod5_effluent_mg_l,0.02349199717244703,0.026564547120180675,0.030173102490829027,0.0400766030564189,0.3464216330440721,-0.12031189842323319,1.0,-0.024002667054394917,0.12367552631699592,-0.20759314565167586,0.1044902338654272,-0.059579496830263715,0.08901883165711194,-0.13247140957451742,0.23749090600728548,0.08410867882140093,-0.011697565315917655,-0.0017968759112865465,-0.2778619759947373,-0.1682598829576012,-0.8138443378708893,-0.035227243592160284,-0.13128002116600787,-0.20974226380639413,-0.15633267274709722,-0.08222698624217438,-0.10854063811507611,-0.14563318940525224,-0.25805969541020574,0.08188681190103413,-0.002491646410145103,-0.02508924978992753,0.16473606664050525,-0.3608060793835211
ss_influent_mg_l,-0.34169908092154005,0.2523850101502251,0.23291878841758837,0.4487483941062771,0.04216444518597593,0.3496742436616918,-0.024002667054394917,1.0,0.08445213388388201,0.19303804772712652,-0.09159403198639211,0.24999136437486177,0.13422691099440592,0.5477781607920423,0.12069844678242038,0.21469268798228094,-0.10147345927582913,0.4538882550109653,0.28914971787051147,0.34838213657457395,0.2286549935368535,0.9959649165908048,0.34854397862075304,0.19489078937291976,0.19146390162703822,0.2293269910715418,0.13893792350555473,0.5463722044293646,0.3005714607781782,0.23929632216695604,0.22775281768974534,0.2803840913556521,-0.017380434597793575,0.3462099642212848
ss_effluent_mg_l,-0.07021896258604614,0.2102893577780421,0.18916609257486297,0.28036833740565525,0.3854238212408363,0.13294087179942396,0.12367552631699592,0.08445213388388201,1.0,-0.0430719377389396,0.18263543457692147,0.01869080800707828,0.0582438524214434,0.10541173307571103,-0.0257724850189216,0.2944132923953553,-0.011734127991793339,0.23921800279745956,-0.09276249267317832,0.1259695368832043,-0.018203689685532935,-0.005311471857631726,-0.8653196070265394,-0.04772793284872682,-0.15881096838104702,0.006161351719459498,-0.008774389351348364,0.10762196261431496,0.08121842745729965,0.2893664519197251,0.16578225528149193,0.16056974006263428,0.04452073274901458,-0.24585911639623695
nh3n_influent_mg_l,-0.07802202961362825,0.2421277626800382,0.23345708865756692,0.3652296044021646,-0.1617237980868544,0.44490269622983364,-0.20759314565167586,0.19303804772712652,-0.0430719377389396,1.0,-0.09459062222860318,0.914535485326116,0.29928334196933076,0.6105781085620027,-0.03102558711356874,0.26717131770083136,-0.11231130666918275,0.3936321887256969,0.3940160280345121,0.45189813504324583,0.3288726472636573,0.19760669110843762,0.19838041751478777,0.9996609127988723,0.5175649972996568,0.882631824653322,0.6032057742110581,0.6173932110504845,0.517581257068367,0.24359758042872492,0.3491321355415234,0.29674726949423164,-0.01076317979840865,0.6681656909600673
