id,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,treatment_process,advanced_processs,disinfection_processs,load_rate,cod_removal_mg_l,cod_removal_rate,bod5_removal_mg_l,bod5_removal_rate,ss_removal_mg_l,ss_removal_rate,nh3n_removal_mg_l,nh3n_removal_rate,tn_removal_mg_l,tn_removal_rate,tp_removal_mg_l,tp_removal_rate,cod_load_kg,tn_load_kg,tp_load_kg,energy_per_volume,avg_removal_rate
1,0.4,116.97,137.0,18.0,57.2,4.87,84.0,6.0,21.0,0.11,28.0,7.83,2.88,0.39,853581.0,A2O_Family,Membrane,Chlorine_Based,0.8011643835616439,119.0,0.8686131386861314,52.330000000000005,0.9148601398601399,78.0,0.9285714285714286,20.89,0.9947619047619047,20.17,0.7203571428571429,2.4899999999999998,0.8645833333333333,160248.9,32751.6,3368.736,0.7297435239805078,0.8819578480116802
2,1.7,610.56,149.0,15.5,61.1,4.53,89.0,6.0,17.4,0.06,30.7,8.6,3.35,0.36,2100402.0,Oxidation_Ditch,Membrane,Chlorine_Based,0.9839806607574536,133.5,0.8959731543624161,56.57,0.9258592471358429,83.0,0.9325842696629213,17.34,0.9965517241379311,22.1,0.719869706840391,2.99,0.8925373134328358,909734.3999999999,187441.91999999998,20453.76,0.34401238207547175,0.8938959025953898
3,1.2,396.35,172.0,18.1,70.0,4.82,100.0,6.0,9.55,0.13,18.6,6.24,2.33,0.16,1431070.0,Oxidation_Ditch,Filtration,Chlorine_Based,0.9049086757990868,153.9,0.8947674418604652,65.18,0.9311428571428573,94.0,0.94,9.42,0.9863874345549738,12.360000000000001,0.6645161290322581,2.17,0.9313304721030042,681722.0,73721.1,9234.955000000002,0.3610621925066229,0.8913573891155933
4,5.5,1058.62,258.0,14.3,120.0,4.29,258.0,6.0,30.5,0.18,44.2,8.21,4.93,0.1,7694500.0,A2O_Family,Combined,Combined,0.527332503113325,243.7,0.9445736434108527,115.71,0.9642499999999999,252.0,0.9767441860465116,30.32,0.9940983606557378,35.99,0.8142533936651584,4.83,0.9797160243407709,2731239.5999999996,467910.04000000004,52189.96599999999,0.7268424930569989,0.9456059346865052
5,1.25,461.63,106.9,20.28,59.6,2.34,182.6,7.13,15.0,0.13,21.8,6.5,3.04,0.21,2706639.0,A2O_Family,Combined,Combined,1.011791780821918,86.62,0.810289990645463,57.260000000000005,0.9607382550335571,175.47,0.9609529025191677,14.87,0.9913333333333333,15.3,0.7018348623853211,2.83,0.930921052631579,493482.47000000003,100635.34,14033.552,0.5863221627710504,0.8926783994247368
6,3.5,555.49,198.0,25.9,110.0,2.91,195.0,8.0,29.5,0.6,43.3,8.2,7.64,0.28,4415090.0,A2O_Family,Combined,Combined,0.434825831702544,172.1,0.8691919191919192,107.09,0.9735454545454546,187.0,0.958974358974359,28.9,0.9796610169491525,35.099999999999994,0.810623556581986,7.359999999999999,0.9633507853403142,1099870.2,240527.17,42439.435999999994,0.7948099875785343,0.9258911819305308
7,5.0,1741.52,195.0,23.9,108.0,2.52,190.0,8.0,19.7,0.2,33.0,6.0,7.59,0.21,8776080.0,A2O_Family,Combined,Combined,0.9542575342465753,171.1,0.8774358974358974,105.48,0.9766666666666667,182.0,0.9578947368421052,19.5,0.9898477157360407,27.0,0.8181818181818182,7.38,0.9723320158102767,3395964.0,574701.6,132181.36800000002,0.5039321971611006,0.9320598084454675
8,67.0,24745.32,206.0,17.0,95.1,3.0,108.0,2.0,22.2,0.33,25.7,8.1,2.52,0.08,77881049.0,A2O_Family,Filtration,Chlorine_Based,1.0118716008996116,189.0,0.9174757281553398,92.1,0.9684542586750788,106.0,0.9814814814814815,21.87,0.9851351351351352,17.6,0.6848249027237355,2.44,0.9682539682539683,50975359.2,6359547.239999999,623582.064,0.31473041771130866,0.9176042457374565
9,20.0,6649.29,315.0,16.0,155.0,1.0,242.0,6.0,25.9,0.42,34.4,9.1,4.57,0.12,21323400.0,A2O_Family,Other,Chlorine_Based,0.9108616438356164,299.0,0.9492063492063492,154.0,0.9935483870967742,236.0,0.9752066115702479,25.479999999999997,0.9837837837837837,25.299999999999997,0.7354651162790697,4.45,0.973741794310722,20945263.5,2287355.76,303872.553,0.32068687032750864,0.9351586737078245
10,19.5,5159.86,244.0,13.0,118.0,1.1,139.0,5.0,24.2,0.37,29.0,7.5,3.2,0.06,18052644.4,A2O_Family,Other,Other,0.7249539866526168,231.0,0.9467213114754098,116.9,0.990677966101695,134.0,0.9640287769784173,23.83,0.9847107438016528,21.5,0.7413793103448276,3.14,0.98125,12590058.399999999,1496359.4,165115.52,0.34986694212633673,0.9347946847836671
