,correlation
cod_load_kg,0.9694135020147039
treatment_capacity_10k_m3_per_day,0.9391418539898129
annual_treatment_volume_10k_m3,0.9335900865300422
tn_load_kg,0.9127660537446693
tp_load_kg,0.8674145819291174
cod_influent_mg_l,0.5631872594153551
cod_removal_mg_l,0.5393014379858568
bod5_influent_mg_l,0.38915390861867044
bod5_removal_mg_l,0.3823083300099717
tn_effluent_mg_l,0.37473693247163004
cod_effluent_mg_l,0.29847224893792335
ss_effluent_mg_l,0.29441329239535524
tp_removal_rate,0.2847298492610731
tp_removal_mg_l,0.27273763246816446
tp_influent_mg_l,0.2673374449744035
nh3n_influent_mg_l,0.26717131770083136
nh3n_removal_mg_l,0.2633718136894547
tn_influent_mg_l,0.2430493905509345
ss_influent_mg_l,0.21469268798228097
cod_removal_rate,0.19843324945907437
ss_removal_mg_l,0.1889429898461153
energy_per_volume,0.1786940250554017
bod5_removal_rate,0.17066220048768943
tn_removal_mg_l,0.16730828056364364
id,0.12206287402040183
nh3n_effluent_mg_l,0.11652303795662948
ss_removal_rate,0.11550255124271921
avg_removal_rate,0.08442839719956041
bod5_effluent_mg_l,0.08410867882140088
tp_effluent_mg_l,0.0613086164114987
nh3n_removal_rate,0.047028452186457716
tn_removal_rate,0.043916679545646146
load_rate,0.037707553069004376
