id,city,district,drainage_company,wwtp_name,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,treatment_process,advanced_processs,disinfection_processs
1,上海市,松江区,上海城投亭南污水处理有限公司,上海城投亭南污水处理有限公司泖港污水处理厂,0.40 ,116.97 ,137.00 ,18.00 ,57.20 ,4.87 ,84.00 ,6.00 ,21.00 ,0.11 ,28.00 ,7.83 ,2.88 ,0.39 ,853581,A2O_Family,Membrane,Chlorine_Based
2,上海市,松江区,上海城投亭南污水处理有限公司,上海城投亭南污水处理有限公司叶榭污水处理厂,1.70 ,610.56 ,149.00 ,15.50 ,61.10 ,4.53 ,89.00 ,6.00 ,17.40 ,0.06 ,30.70 ,8.60 ,3.35 ,0.36 ,2100402,Oxidation_Ditch,Membrane,Chlorine_Based
3,上海市,松江区,上海城投亭南污水处理有限公司,上海城投亭南污水处理有限公司新浜污水处理厂,1.20 ,396.35 ,172.00 ,18.10 ,70.00 ,4.82 ,100.00 ,6.00 ,9.55 ,0.13 ,18.60 ,6.24 ,2.33 ,0.16 ,1431070,Oxidation_Ditch,Filtration,Chlorine_Based
4,上海市,崇明区,上海城投城桥污水处理有限公司长兴污水处理厂,长兴污水处理厂,5.50 ,1058.62 ,258.00 ,14.30 ,120.00 ,4.29 ,258.00 ,6.00 ,30.50 ,0.18 ,44.20 ,8.21 ,4.93 ,0.10 ,7694500,A2O_Family,Combined,Combined
5,上海市,崇明区,上海城投城桥污水处理有限公司堡镇污水处理厂,上海城投城桥污水处理有限公司堡镇污水厂,1.25 ,461.63 ,106.90 ,20.28 ,59.60 ,2.34 ,182.60 ,7.13 ,15.00 ,0.13 ,21.80 ,6.50 ,3.04 ,0.21 ,2706639,A2O_Family,Combined,Combined
6,上海市,崇明区,上海城投城桥污水处理有限公司陈家镇污水处理厂,上海城投城桥污水处理有限公司陈家镇污水厂,3.50 ,555.49 ,198.00 ,25.90 ,110.00 ,2.91 ,195.00 ,8.00 ,29.50 ,0.60 ,43.30 ,8.20 ,7.64 ,0.28 ,4415090,A2O_Family,Combined,Combined
7,上海市,崇明区,上海城投城桥污水处理有限公司城桥污水处理厂,上海城投城桥污水处理有限公司城桥污水处理厂,5.00 ,1741.52 ,195.00 ,23.90 ,108.00 ,2.52 ,190.00 ,8.00 ,19.70 ,0.20 ,33.00 ,6.00 ,7.59 ,0.21 ,8776080,A2O_Family,Combined,Combined
8,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司江心洲污水处理厂,67.00 ,24745.32 ,206.00 ,17.00 ,95.10 ,3.00 ,108.00 ,2.00 ,22.20 ,0.33 ,25.70 ,8.10 ,2.52 ,0.08 ,77881049,A2O_Family,Filtration,Chlorine_Based
9,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司桥北污水处理厂,20.00 ,6649.29 ,315.00 ,16.00 ,155.00 ,1.00 ,242.00 ,6.00 ,25.90 ,0.42 ,34.40 ,9.10 ,4.57 ,0.12 ,21323400,A2O_Family,Other,Chlorine_Based
10,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司铁北污水处理厂,19.50 ,5159.86 ,244.00 ,13.00 ,118.00 ,1.10 ,139.00 ,5.00 ,24.20 ,0.37 ,29.00 ,7.50 ,3.20 ,0.06 ,18052644.4,A2O_Family,Other,Other
11,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司八卦洲污水处理厂,0.50 ,124.62 ,141.00 ,16.30 ,66.90 ,1.10 ,112.00 ,5.00 ,23.10 ,0.28 ,27.20 ,7.85 ,3.67 ,0.14 ,926440,A2O_Family,Filtration,Chlorine_Based
12,南京市,玄武区,江苏金陵环境股份有限公司,城北污水处理厂（一级A段）,30.00 ,10926.54 ,223.00 ,22.00 ,111.00 ,2.22 ,186.00 ,6.00 ,22.10 ,0.22 ,28.80 ,10.40 ,3.32 ,0.10 ,7733500,Other,Other,Chlorine_Based
13,南京市,玄武区,江苏金陵环境股份有限公司,城南污水处理厂,20.00 ,2995.45 ,272.00 ,15.00 ,104.00 ,2.20 ,127.00 ,5.00 ,26.50 ,0.28 ,30.70 ,6.82 ,3.16 ,0.16 ,13200239,A2O_Family,Filtration,Other
