id,city,district,drainage_company,wwtp_name,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,treatment_process,advanced_treatment_process,disinfection_method,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,sludge_treatment_process,treatment_process_standardized
1,上海市,松江区,上海城投亭南污水处理有限公司,上海城投亭南污水处理有限公司泖港污水处理厂,0.4,116.97,A2O,膜过滤,次氯酸钠,137.0,18.0,57.2,4.87,84.0,6.0,21.0,0.11,28.0,7.83,2.88,0.39,853581.0,A2O法,A2O
2,上海市,松江区,上海城投亭南污水处理有限公司,上海城投亭南污水处理有限公司叶榭污水处理厂,1.7,610.56,氧化沟,膜过滤,次氯酸钠,149.0,15.5,61.1,4.53,89.0,6.0,17.4,0.06,30.7,8.6,3.35,0.36,2100402.0,氧化沟,Oxidation Ditch
3,上海市,松江区,上海城投亭南污水处理有限公司,上海城投亭南污水处理有限公司新浜污水处理厂,1.2,396.35,氧化沟,滤布滤池,次氯酸钠,172.0,18.1,70.0,4.82,100.0,6.0,9.55,0.13,8.6,6.24,2.33,0.16,1431070.0,氧化沟,Oxidation Ditch
4,上海市,崇明区,上海城投城桥污水处理有限公司长兴污水处理厂,长兴污水处理厂,5.5,1058.62,A2O,高效沉淀池加反硝化深床滤池,紫外线加次氯酸钠消毒,258.0,14.3,120.0,4.29,258.0,6.0,30.5,0.18,44.2,8.21,4.93,0.1,7694500.0,A2O法,A2O
5,上海市,崇明区,上海城投城桥污水处理有限公司堡镇污水处理厂,上海城投城桥污水处理有限公司堡镇污水厂,1.25,461.63,AAO,高效沉淀池+转盘滤池,紫外线消毒+次氯酸钠,106.9,20.28,59.6,2.34,182.6,7.13,15.0,0.13,21.8,6.5,3.04,0.21,2706639.0,A2O法,A2O
6,上海市,崇明区,上海城投城桥污水处理有限公司陈家镇污水处理厂,上海城投城桥污水处理有限公司陈家镇污水厂,3.5,555.49,AAO+二沉池,高效沉淀池+转盘滤池,紫外线消毒+次氯酸钠,198.0,25.9,110.0,2.91,195.0,8.0,29.5,0.6,43.3,8.2,7.64,0.28,415090.0,A2O法,A2O
7,上海市,崇明区,上海城投城桥污水处理有限公司城桥污水处理厂,上海城投城桥污水处理有限公司城桥污水处理厂,5.0,1741.52,AAO,高效沉淀池+转盘滤池,紫外线消毒+次氯酸钠,195.0,23.9,108.0,2.52,190.0,8.0,19.7,0.2,33.0,6.0,7.59,0.21,876080.0,A2O法,A2O
8,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司江心洲污水处理厂,67.0,24745.32,改良型A2/O,反硝化深床滤池,液氯消毒,206.0,17.0,95.1,3.0,108.0,2.0,22.2,0.33,25.7,8.1,2.52,0.08,77881049.0,A2O法,Modified A2O
9,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司桥北污水处理厂,20.0,6649.29,强化脱氮改良型A2/O,高效混凝沉淀池＋纤维转盘滤池／反硝化深床滤池,次氯酸钠消毒,315.0,16.0,155.0,1.0,242.0,6.0,25.9,0.42,34.4,9.1,4.57,0.12,21323400.0,A2O法,Modified A2O
10,南京市,玄武区,江苏金陵环境股份有限公司,江苏金陵环境股份有限公司铁北污水处理厂,19.5,5159.86,强化脱氮改良型A2/O+多级AO生化池,一二期：微絮凝池＋砂滤，三期：高效沉淀池＋深床反硝化滤池,次氯酸钠＋紫外,244.0,13.0,118.0,1.1,139.0,5.0,24.2,0.37,29.0,7.5,3.2,0.06,1805264.4,A2O法,Multi-stage A2O
